ACC X;ACC Y; ACC Z;GYRO X;GYRO Y;GYRO Z;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
