ACC X;ACC Y; ACC Z;GYRO X;GYRO Y;GYRO Z;
-1912;-492;17308;-2283;1254;1145;
-3700;-292;16440;-1116;571;885;
-3788;-1056;17152;-1290;-1368;-82;
-3124;-836;16156;-1778;-2129;-598;
-3024;-1120;16500;-1506;-1447;223;
-2548;-748;16040;-1129;-4156;-1439;
-1840;-1792;17144;-1995;-2788;-1933;
-3144;-1052;16064;-775;-1387;-538;
-1348;-1688;17048;-524;-1456;-906;
-2056;-1692;17016;-774;76;-278;
-1596;-1728;17036;-1636;-558;-373;
-1432;-1812;16208;-8;-461;-1016;
-1400;-1688;16828;-429;-196;-638;
-1336;-1516;17516;-28;-1048;-849;
-1308;-1760;17280;9;-1261;-868;
-1500;-580;15120;285;864;209;
-1836;-1308;16548;410;1020;552;
-1816;-1324;16736;-367;507;250;
-1668;-1012;16632;-580;99;-195;
-1424;-1236;16604;-1056;753;69;
-1712;-592;15156;-933;4215;-1006;
-1216;-1492;18304;1876;-9214;-1291;
-1556;-836;16336;-3044;7151;1816;
-4424;-1572;18596;-92;-5206;-1905;
-2044;-916;15200;-1487;2548;156;
-1060;-1816;18592;-227;-5387;-1923;
-3544;-1112;15652;-3201;7222;1973;
-840;-788;16480;-3614;6455;2569;
-4956;-1972;16300;745;940;-1149;
-1436;-1476;18416;-149;-6616;-3167;
-1684;-1312;15476;-3811;6585;2845;
-2296;-2052;17240;2995;-8535;-2899;
-1688;-1444;17180;-2018;3197;819;
-1852;-1612;18196;-359;-6316;-2003;
-3248;-1532;15124;-1951;4361;709;
-100;-2088;18176;843;-7447;-3856;
-1884;-1528;16116;-3008;5519;2289;
-2736;-1140;17624;860;-9923;-2777;
408;-1528;17048;-1641;576;1028;
-1252;-1572;16880;-626;633;157;
-2404;-1632;16008;-3132;5195;431;
-1004;-1884;17088;4110;-6931;-1697;
-1756;-916;16128;-2380;8449;858;
396;-212;16204;-4972;6246;2666;
-4128;-908;15376;2643;-2724;-1843;
-220;-1232;17892;-3938;2665;-3;
-2212;-1436;16604;3830;-8127;-2299;
-1420;-764;17568;-4078;9579;2012;
-5016;-476;18564;-2257;818;-3334;
-4796;-1836;16752;3442;-22013;-3008;
692;-412;16204;-551;-2666;-310;
-1092;-968;15464;-6533;20791;-63;
-7976;-2364;19424;1320;-2835;-3162;
-3856;-2516;17208;3027;-21920;-393;
2008;-104;13096;-1458;2451;500;
-2652;-2800;16716;-7489;25595;-1524;
-10012;-2120;16768;1224;-1435;-1944;
-976;-1584;15908;217;-23714;760;
4020;-1416;13036;-1300;8874;3688;
-4248;-3312;16132;-4551;29535;-2487;
-5840;-1552;17444;622;-28496;-1235;
2812;-1620;16216;-595;-6986;426;
2532;-1656;13848;-3440;32767;3823;
-13268;-3068;16372;914;10151;2029;
-4500;-2512;17432;-381;-32768;-4511;
588;-3228;16188;-6655;-19183;-3211;
5060;-1580;15368;1076;20736;895;
-7656;-1012;15348;958;21204;-567;
-6548;-2200;17516;407;-18974;-574;
-2280;-2992;16028;-1420;-19946;2360;
1196;-1884;15968;-327;7616;-3547;
-3604;-972;15568;-1941;24636;-1001;
-5656;-2892;19636;-1004;-14131;1059;
604;-1604;15280;1753;-10087;-1030;
304;-1676;16124;-1278;16956;-107;
-8248;-2644;18524;-5015;8188;-5814;
-4532;-3076;16712;2419;-28529;1488;
-60;-1772;14696;-2307;26769;876;
-7808;-3360;18296;-917;6092;-793;
-4000;-2540;17108;1548;-23313;-875;
2292;-996;13356;-952;-10041;2940;
548;-1824;16292;-943;18715;-1216;
-7072;-2656;18024;-3235;7366;-2591;
-5372;-2284;16428;4887;-21250;2720;
2144;-1484;15844;-1217;-5362;-1113;
-704;-2276;16164;-3347;23190;-3015;
-6924;-2832;17776;14;1124;-1713;
-1848;-1836;14860;3230;-14517;3247;
1800;-1148;15436;59;-6840;92;
-724;-2788;18792;-2113;10230;-1005;
-5040;-1668;19836;1153;-15469;-2837;
456;-804;13184;-101;-1649;4412;
900;-1988;17280;-4203;14729;-280;
-1500;-1052;14924;2880;-15951;3434;
2144;-1152;15592;-1943;4148;678;
-1596;-1756;18992;-4273;7893;-4209;
-4212;-1684;18952;1116;-14676;166;
1456;-1416;14984;2417;-14925;6032;
4480;-1672;16288;-2607;9145;-1606;
-196;-2068;15824;-4630;19059;-6329;
-5784;-2436;18224;-1157;6852;-874;
-3820;-3232;18148;2949;-15857;3289;
2424;-1484;12892;1356;-12453;3557;
3280;-1928;16824;-698;14471;-1800;
-4108;-2464;18204;-6780;12236;-5496;
-3280;-2640;17220;2443;-11034;3760;
2880;-1544;12860;2901;-9019;3914;
2524;-2040;16624;-2120;22135;-5239;
-6872;-2340;19588;-2796;3736;-3225;
-2524;-2412;16692;1409;-19970;7750;
-1760;-2064;16904;-3038;21147;-6825;
-5200;-2488;19392;160;-9355;2065;
2788;-1664;15828;1896;-12164;6118;
1816;-1904;16148;846;12087;-3930;
-4480;-2064;17916;-3364;7559;-7994;
-2948;-1440;18116;1545;-11592;4423;
2348;-1148;16344;-123;-7245;2377;
3280;-2480;15644;-906;6299;-2009;
-2296;-2116;16868;-3008;14107;-5763;
-5296;-2128;17624;823;-2343;-271;
1152;-1708;16616;1658;-19036;8621;
4180;-1588;14448;-2175;13577;-5398;
-4840;-2508;18328;-1042;13570;-7581;
